Deal ID,31 August 2016,01 September 2016,09 September 2016,20 September 2016,30 September 2016,03 October 2016,10 October 2016,17 October 2016,24 October 2016,28 October 2016,31 October 2016
DEALBD01," 20,00,000.00 "," 20,20,000.00 "," 20,50,300.00 "," 20,87,205.40 "," 19,82,845.13 "," 23,79,414.16 "," 21,41,472.74 "," 21,84,302.20 "," 22,06,145.22 "," 22,39,237.40 "," 22,16,845.02 "
DEALBD02," 9,10,000.00 "," 9,19,100.00 "," 9,32,886.50 "," 9,49,678.46 "," 9,02,194.53 "," 10,82,633.44 "," 9,74,370.10 "," 9,93,857.50 "," 10,03,796.07 "," 10,18,853.01 "," 10,08,664.48 "
DEALBD03," 10,05,000.00 "," 10,15,050.00 "," 10,30,275.75 "," 10,48,820.71 "," 9,96,379.68 "," 11,95,655.61 "," 10,76,090.05 "," 10,97,611.85 "," 11,08,587.97 "," 11,25,216.79 "," 11,13,964.62 "
DEALBD04," 20,90,909.09 "," 21,11,818.18 "," 20,73,805.45 "," 20,36,476.96 "," 20,77,206.50 "," 21,39,522.69 "," 23,53,474.96 "," 22,35,801.21 "," 17,88,640.97 "," 18,15,470.58 "," 18,33,625.29 "
DEALBD05," 11,02,272.73 "," 11,13,295.45 "," 10,93,256.14 "," 10,73,577.53 "," 10,95,049.08 "," 11,27,900.55 "," 12,40,690.60 "," 11,78,656.07 "," 9,42,924.86 "," 9,57,068.73 "," 9,66,639.42 "
DEALBD06," 7,21,136.36 "," 7,28,347.73 "," 7,15,237.47 "," 7,02,363.19 "," 7,16,410.46 "," 7,37,902.77 "," 8,11,693.05 "," 7,71,108.40 "," 6,16,886.72 "," 6,26,140.02 "," 6,32,401.42 "
DEALBD07," 10,67,000.00 "," 10,77,670.00 "," 10,97,068.06 "," 11,16,815.29 "," 11,50,319.74 "," 12,07,835.73 "," 12,92,384.23 "," 12,98,846.15 "," 13,11,834.61 "," 13,38,071.31 "," 15,38,782.00 "
DEALBD08," 76,50,000.00 "," 77,26,500.00 "," 78,65,577.00 "," 80,07,157.39 "," 82,47,372.11 "," 86,59,740.71 "," 92,65,922.56 "," 93,12,252.18 "," 94,05,374.70 "," 95,93,482.19 "," 1,10,32,504.52 "
DEALBD09," 9,09,000.00 "," 9,18,090.00 "," 9,31,861.35 "," 9,48,634.85 "," 9,01,203.11 "," 10,81,443.73 "," 9,73,299.36 "," 9,92,765.35 "," 10,02,693.00 "," 10,17,733.40 "," 10,07,556.06 "
DEALBD10," 91,35,000.00 "," 92,26,350.00 "," 93,64,745.25 "," 95,33,310.66 "," 90,56,645.13 "," 1,08,67,974.16 "," 97,81,176.74 "," 99,76,800.28 "," 1,00,76,568.28 "," 1,02,27,716.80 "," 1,01,25,439.64 "
DEALBD11," 1,75,189.39 "," 1,76,941.29 "," 1,73,756.34 "," 1,70,628.73 "," 1,74,041.31 "," 1,79,262.54 "," 1,97,188.80 "," 1,87,329.36 "," 1,49,863.49 "," 1,52,111.44 "," 1,53,632.55 "
DEALBD12," 29,10,000.00 "," 29,39,100.00 "," 29,92,003.80 "," 30,45,859.87 "," 31,37,235.66 "," 32,94,097.45 "," 35,24,684.27 "," 35,42,307.69 "," 35,77,730.77 "," 36,49,285.38 "," 41,96,678.19 "
DEALBD13," 13,190.30 "," 13,322.20 "," 13,655.26 "," 13,996.64 "," 14,206.59 "," 14,916.92 "," 17,900.30 "," 15,215.26 "," 15,671.71 "," 16,063.51 "," 16,384.78 "
DEALBD14," 8,37,500.00 "," 8,45,875.00 "," 8,30,649.25 "," 8,15,697.56 "," 8,32,011.51 "," 8,56,971.86 "," 9,42,669.05 "," 8,95,535.59 "," 7,16,428.48 "," 7,27,174.90 "," 7,34,446.65 "
DEALBD15," 12,06,000.00 "," 12,18,060.00 "," 12,39,985.08 "," 12,62,304.81 "," 13,00,173.96 "," 13,65,182.65 "," 14,60,745.44 "," 14,68,049.17 "," 14,82,729.66 "," 15,12,384.25 "," 17,39,241.89 "
DEALBD16,"-7,26,893.94 ",,,,,,,,,,
DEALBD17," 76,515.15 "," 77,280.30 "," 75,889.26 "," 74,523.25 "," 76,013.72 "," 78,294.13 "," 86,123.54 "," 81,817.36 "," 65,453.89 "," 66,435.70 "," 67,100.06 "
DEALBD18," 1,44,626.87 "," 1,46,073.13 "," 1,49,724.96 "," 1,53,468.09 "," 1,55,770.11 "," 1,63,558.61 "," 1,96,270.34 "," 1,66,829.79 "," 1,71,834.68 "," 1,76,130.55 "," 1,79,653.16 "
DEALBD19," 81,60,000.00 "," 82,41,600.00 "," 83,89,948.80 "," 85,40,967.88 "," 87,97,196.91 "," 92,37,056.76 "," 98,83,650.73 "," 99,33,068.99 "," 1,00,32,399.68 "," 1,02,33,047.67 "," 1,17,68,004.82 "
DEALBD20,"-19,93,939.39 ",,,,,,,,,,
DEALBD21," 5,02,500.00 "," 5,07,525.00 "," 5,16,660.45 "," 5,25,960.34 "," 5,41,739.15 "," 5,68,826.11 "," 6,08,643.93 "," 6,11,687.15 "," 6,17,804.02 "," 6,30,160.10 "," 7,24,684.12 "
DEALBD22," 1,90,000.00 "," 1,91,900.00 "," 1,94,778.50 "," 1,98,284.51 "," 1,88,370.29 "," 2,26,044.34 "," 2,03,439.91 "," 2,07,508.71 "," 2,09,583.80 "," 2,12,727.55 "," 2,10,600.28 "
DEALBD23," 2,835.82 "," 2,864.18 "," 2,935.78 "," 3,009.18 "," 3,054.32 "," 3,207.03 "," 3,848.44 "," 3,271.17 "," 3,369.31 "," 3,453.54 "," 3,522.61 "
DEALBD24," 4,75,000.00 "," 4,79,750.00 "," 4,86,946.25 "," 4,95,711.28 "," 4,70,925.72 "," 5,65,110.86 "," 5,08,599.78 "," 5,18,771.77 "," 5,23,959.49 "," 5,31,818.88 "," 5,26,500.69 "
DEALBD25," 45,90,909.09 "," 46,36,818.18 "," 45,53,355.45 "," 44,71,395.06 "," 45,60,822.96 "," 46,97,647.65 "," 51,67,412.41 "," 49,09,041.79 "," 39,27,233.43 "," 39,86,141.93 "," 40,26,003.35 "
DEALBD26,"-10,86,750.00 ",,,,,,,,,,
DEALBD27," 9,10,000.00 "," 9,19,100.00 "," 9,32,886.50 "," 9,49,678.46 "," 9,02,194.53 "," 10,82,633.44 "," 9,74,370.10 "," 9,93,857.50 "," 10,03,796.07 "," 10,18,853.01 "," 10,08,664.48 "
DEALBD28,"-12,06,000.00 ",,,,,,,,,,
DEALBD29,"-8,96,875.00 ",,,,,,,,,,
DEALBD30," 6,47,159.09 "," 6,53,630.68 "," 6,41,865.33 "," 6,30,311.75 "," 6,42,917.99 "," 6,62,205.53 "," 7,28,426.08 "," 6,92,004.78 "," 5,53,603.82 "," 5,61,907.88 "," 5,67,526.96 "
DEALBD31," 37,686.57 "," 38,063.43 "," 39,015.02 "," 39,990.39 "," 40,590.25 "," 42,619.76 "," 51,143.72 "," 43,472.16 "," 44,776.32 "," 45,895.73 "," 46,813.65 "
DEALBD32,"-7,45,600.00 ",,,,,,,,,,
DEALBD33," 13,880.60 "," 14,019.40 "," 14,369.89 "," 14,729.14 "," 14,950.07 "," 15,697.58 "," 18,837.09 "," 16,011.53 "," 16,491.87 "," 16,904.17 "," 17,242.25 "
