Deal ID,Folder,Instrument,Country,Region,Counterparty,Rating,Sector_ID,Allocation,VaR,Currency
DEALBD01,Fold_BOND1,BONDS,United States,NAMR,US Government,AAA,SEC_11,"1,00,00,00,000.00","5,00,00,000.00",USD
DEALBD02,Fold_BOND1,BONDS,United States,NAMR,US Government,AAA,SEC_11,"1,00,00,00,000.00","4,00,00,000.00",USD
DEALBD03,Fold_BOND6,BONDS,United States,NAMR,US Government,AAA,SEC_11,"1,00,00,00,000.00","3,00,00,000.00",USD
DEALBD04,Fold_BOND2,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00","9,00,00,000.00",CAD
DEALBD05,Fold_BOND7,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00","9,00,00,000.00",CAD
DEALBD06,Fold_BOND7,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00","9,00,00,000.00",CAD
DEALBD07,Fold_BOND8,BONDS,United States,NAMR,General Electric,BBB,SEC_1,"1,00,00,00,000.00","10,50,00,000.00",USD
DEALBD08,Fold_BOND3,BONDS,United States,NAMR,General Electric,BBB,SEC_1,"1,00,00,00,000.00","10,50,00,000.00",USD
DEALBD09,Fold_BOND6,BONDS,United States,NAMR,US Government,AAA,SEC_11,"1,00,00,00,000.00","2,00,00,000.00",USD
DEALBD10,Fold_BOND1,BONDS,United States,NAMR,US Government,AAA,SEC_11,"1,00,00,00,000.00","2,00,00,000.00",USD
DEALBD11,Fold_BOND2,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00","9,00,00,000.00",CAD
DEALBD12,Fold_BOND3,BONDS,United States,NAMR,General Electric,BBB,SEC_1,"1,00,00,00,000.00","10,50,00,000.00",USD
DEALBD13,Fold_BOND10,BONDS,India,APAC,Government of India,A,SEC_11,"1,00,00,00,000.00","7,50,00,000.00",INR
DEALBD14,Fold_BOND2,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00","9,00,00,000.00",CAD
DEALBD15,Fold_BOND3,BONDS,United States,NAMR,General Electric,BBB,SEC_1,"1,00,00,00,000.00","10,50,00,000.00",USD
DEALBD16,Fold_BOND7,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00",,CAD
DEALBD17,Fold_BOND2,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00","9,00,00,000.00",CAD
DEALBD18,Fold_BOND5,BONDS,India,APAC,Government of India,A,SEC_11,"1,00,00,00,000.00","7,50,00,000.00",INR
DEALBD19,Fold_BOND3,BONDS,United States,NAMR,General Electric,BBB,SEC_1,"1,00,00,00,000.00","10,50,00,000.00",USD
DEALBD20,Fold_BOND2,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00",,CAD
DEALBD21,Fold_BOND8,BONDS,United States,NAMR,General Electric,BBB,SEC_1,"1,00,00,00,000.00","10,50,00,000.00",USD
DEALBD22,Fold_BOND8,BONDS,United States,NAMR,US Government,AAA,SEC_11,"1,00,00,00,000.00","1,00,00,000.00",USD
DEALBD23,Fold_BOND5,BONDS,India,APAC,Government of India,A,SEC_11,"1,00,00,00,000.00","7,00,00,000.00",INR
DEALBD24,Fold_BOND1,BONDS,United States,NAMR,US Government,AAA,SEC_11,"1,00,00,00,000.00","1,00,00,000.00",USD
DEALBD25,Fold_BOND7,BONDS,Canada,NAMR,Royal Bank of Canada,A,SEC_7,"1,00,00,00,000.00","8,00,00,000.00",CAD
