Deal ID,Folder,Instrument,Country,Region,Counterparty,Rating,Sector_ID,Allocation
DEALLD04,Fold_MM5,LD,Argentina,SAMR,Aeroineas Argentinas,C,SEC_3," 1,00,00,00,000.00 "
DEALLD08,Fold_MM5,LD,Argentina,SAMR,Aeroineas Argentinas,C,SEC_3," 1,00,00,00,000.00 "
DEALLD12,Fold_MM5,LD,Argentina,SAMR,Aeroineas Argentinas,C,SEC_3," 1,00,00,00,000.00 "
DEALLD15,Fold_MM5,LD,Argentina,SAMR,Aeroineas Argentinas,C,SEC_3," 1,00,00,00,000.00 "
DEALLD19,Fold_MM5,LD,Argentina,SAMR,Aeroineas Argentinas,C,SEC_3," 1,00,00,00,000.00 "
DEALLD26,Fold_MM5,LD,Argentina,SAMR,Aeroineas Argentinas,C,SEC_3," 1,00,00,00,000.00 "
DEALLD03,Fold_MM4,LD,United Kingdom,EURO,Barclays London,AA,SEC_7," 1,00,00,00,000.00 "
DEALLD07,Fold_MM4,LD,United Kingdom,EURO,Barclays London,AA,SEC_7," 1,00,00,00,000.00 "
DEALLD11,Fold_MM4,LD,United Kingdom,EURO,Barclays London,AA,SEC_7," 1,00,00,00,000.00 "
DEALLD14,Fold_MM4,LD,United Kingdom,EURO,Barclays London,AA,SEC_7," 1,00,00,00,000.00 "
DEALLD18,Fold_MM4,LD,United Kingdom,EURO,Barclays London,AA,SEC_7," 1,00,00,00,000.00 "
DEALLD22,Fold_MM4,LD,United Kingdom,EURO,Barclays London,AA,SEC_7," 1,00,00,00,000.00 "
DEALLD25,Fold_MM4,LD,United Kingdom,EURO,Barclays London,AA,SEC_7," 1,00,00,00,000.00 "
DEALEQ23,Fold_EQUITY2,EQUITY,Canada,NAMR,Blackberry,B,SEC_8," 1,00,00,00,000.00 "
DEALEQ06,Fold_EQUITY7,EQUITY,France,EURO,BNP Paribas,CC,SEC_7," 1,00,00,00,000.00 "
DEALEQ14,Fold_EQUITY7,EQUITY,France,EURO,BNP Paribas,CC,SEC_7," 1,00,00,00,000.00 "
DEALEQ21,Fold_EQUITY7,EQUITY,France,EURO,BNP Paribas,CC,SEC_7," 1,00,00,00,000.00 "
DEALEQ28,Fold_EQUITY7,EQUITY,France,EURO,BNP Paribas,CC,SEC_7," 1,00,00,00,000.00 "
DEALEQ01,Fold_EQUITY1,EQUITY,United States,NAMR,Calimax,BB,SEC_3," 1,00,00,00,000.00 "
DEALEQ09,Fold_EQUITY10,EQUITY,France,EURO,Capgemini,BBB,SEC_8," 1,00,00,00,000.00 "
DEALIS01,Fold_SWAP1,IRS,United States,NAMR,Citi Bank,A,SEC_7," 1,00,00,00,000.00 "
DEALIS03,Fold_SWAP4,IRS,United States,NAMR,Citi Bank,A,SEC_7," 1,00,00,00,000.00 "
DEALIS04,Fold_SWAP1,IRS,United States,NAMR,Citi Bank,A,SEC_7," 1,00,00,00,000.00 "
DEALIS06,Fold_SWAP4,IRS,United States,NAMR,Citi Bank,A,SEC_7," 1,00,00,00,000.00 "
DEALIS07,Fold_SWAP1,IRS,United States,NAMR,Citi Bank,A,SEC_7," 1,00,00,00,000.00 "
DEALIS09,Fold_SWAP4,IRS,United States,NAMR,Citi Bank,A,SEC_7," 1,00,00,00,000.00 "
DEALEQ15,Fold_EQUITY5,EQUITY,Germany,EURO,Deutsche Bank,AAA,SEC_7," 1,00,00,00,000.00 "
DEALEQ05,Fold_EQUITY10,EQUITY,France,EURO,Electricite de France,A,SEC_6," 1,00,00,00,000.00 "
DEALEQ13,Fold_EQUITY10,EQUITY,France,EURO,Electricite de France,A,SEC_6," 1,00,00,00,000.00 "
DEALEQ20,Fold_EQUITY10,EQUITY,France,EURO,Electricite de France,A,SEC_6," 1,00,00,00,000.00 "
DEALEQ26,Fold_EQUITY10,EQUITY,France,EURO,Electricite de France,A,SEC_6," 1,00,00,00,000.00 "
DEALIS10,Fold_SWAP1,IRS,United States,NAMR,Fairchild Group,B,SEC_6," 1,00,00,00,000.00 "
DEALIS12,Fold_SWAP4,IRS,United States,NAMR,Fairchild Group,B,SEC_6," 1,00,00,00,000.00 "
DEALIS13,Fold_SWAP1,IRS,United States,NAMR,Fairchild Group,B,SEC_6," 1,00,00,00,000.00 "
DEALIS15,Fold_SWAP4,IRS,United States,NAMR,Fairchild Group,B,SEC_6," 1,00,00,00,000.00 "
DEALIS16,Fold_SWAP1,IRS,United States,NAMR,Fairchild Group,B,SEC_6," 1,00,00,00,000.00 "
DEALIS18,Fold_SWAP4,IRS,United States,NAMR,Fairchild Group,B,SEC_6," 1,00,00,00,000.00 "
DEALIS19,Fold_SWAP1,IRS,United States,NAMR,Fairchild Group,B,SEC_6," 1,00,00,00,000.00 "
DEALIS21,Fold_SWAP4,IRS,United States,NAMR,Fairchild Group,B,SEC_6," 1,00,00,00,000.00 "
DEALIS22,Fold_SWAP1,IRS,United States,NAMR,Fairchild Group,B,SEC_6," 1,00,00,00,000.00 "
DEALIS24,Fold_SWAP4,IRS,United States,NAMR,Fairchild Group,B,SEC_6," 1,00,00,00,000.00 "
DEALIS25,Fold_SWAP1,IRS,United States,NAMR,Fairchild Group,B,SEC_6," 1,00,00,00,000.00 "
DEALIS27,Fold_SWAP4,IRS,United States,NAMR,Fairchild Group,B,SEC_6," 1,00,00,00,000.00 "
DEALIS28,Fold_SWAP1,IRS,United States,NAMR,Fairchild Group,B,SEC_6," 1,00,00,00,000.00 "
DEALBD07,Fold_BOND8,BONDS,United States,NAMR,General Electric,BBB,SEC_1," 1,00,00,00,000.00 "
DEALBD08,Fold_BOND3,BONDS,United States,NAMR,General Electric,BBB,SEC_1," 1,00,00,00,000.00 "
DEALBD12,Fold_BOND3,BONDS,United States,NAMR,General Electric,BBB,SEC_1," 1,00,00,00,000.00 "
DEALBD15,Fold_BOND3,BONDS,United States,NAMR,General Electric,BBB,SEC_1," 1,00,00,00,000.00 "
DEALBD19,Fold_BOND3,BONDS,United States,NAMR,General Electric,BBB,SEC_1," 1,00,00,00,000.00 "
DEALBD21,Fold_BOND8,BONDS,United States,NAMR,General Electric,BBB,SEC_1," 1,00,00,00,000.00 "
DEALBD34,Fold_BOND8,BONDS,United States,NAMR,General Electric,BBB,SEC_1," 1,00,00,00,000.00 "
DEALBD40,Fold_BOND3,BONDS,United States,NAMR,General Electric,BBB,SEC_1," 1,00,00,00,000.00 "
DEALBD41,Fold_BOND8,BONDS,United States,NAMR,General Electric,BBB,SEC_1," 1,00,00,00,000.00 "
DEALBD44,Fold_BOND8,BONDS,United States,NAMR,General Electric,BBB,SEC_1," 1,00,00,00,000.00 "
DEALEQ03,Fold_EQUITY4,EQUITY,United States,NAMR,General Motors,BB,SEC_3," 1,00,00,00,000.00 "
DEALEQ04,Fold_EQUITY4,EQUITY,United States,NAMR,General Motors,BB,SEC_3," 1,00,00,00,000.00 "
DEALEQ08,Fold_EQUITY9,EQUITY,United States,NAMR,General Motors,BB,SEC_3," 1,00,00,00,000.00 "
DEALEQ12,Fold_EQUITY4,EQUITY,United States,NAMR,General Motors,BB,SEC_3," 1,00,00,00,000.00 "
DEALEQ16,Fold_EQUITY4,EQUITY,United States,NAMR,General Motors,BB,SEC_3," 1,00,00,00,000.00 "
DEALEQ18,Fold_EQUITY9,EQUITY,United States,NAMR,General Motors,BB,SEC_3," 1,00,00,00,000.00 "
DEALEQ25,Fold_EQUITY9,EQUITY,United States,NAMR,General Motors,BB,SEC_3," 1,00,00,00,000.00 "
DEALEQ27,Fold_EQUITY9,EQUITY,United States,NAMR,General Motors,BB,SEC_3," 1,00,00,00,000.00 "
DEALEQ07,Fold_EQUITY8,EQUITY,United States,NAMR,Goldman Sachs,AAA,SEC_7," 1,00,00,00,000.00 "
DEALEQ10,Fold_EQUITY8,EQUITY,United States,NAMR,Goldman Sachs,AAA,SEC_7," 1,00,00,00,000.00 "
DEALEQ17,Fold_EQUITY8,EQUITY,United States,NAMR,Goldman Sachs,AAA,SEC_7," 1,00,00,00,000.00 "
DEALEQ22,Fold_EQUITY8,EQUITY,United States,NAMR,Goldman Sachs,AAA,SEC_7," 1,00,00,00,000.00 "
DEALBD13,Fold_BOND10,BONDS,India,APAC,Government of India,A,SEC_11," 1,00,00,00,000.00 "
DEALBD18,Fold_BOND5,BONDS,India,APAC,Government of India,A,SEC_11," 1,00,00,00,000.00 "
DEALBD23,Fold_BOND5,BONDS,India,APAC,Government of India,A,SEC_11," 1,00,00,00,000.00 "
DEALBD31,Fold_BOND5,BONDS,India,APAC,Government of India,A,SEC_11," 1,00,00,00,000.00 "
DEALBD33,Fold_BOND5,BONDS,India,APAC,Government of India,A,SEC_11," 1,00,00,00,000.00 "
DEALBD43,Fold_BOND10,BONDS,India,APAC,Government of India,A,SEC_11," 1,00,00,00,000.00 "
